Funded ID,Product,Initial Funding Date,Total Original Balance,Total Original RTR,Past Due Amount,Total Principal Net Charge Off,Owner FICO,Commission Cost %
LAI-00000947,Term-SuperB,11/26/2024,"1,750,000","2,362,500",0,0,766,0.03
LAI-00000946,Term-SuperB,11/22/2024,"1,500,000","2,025,000",0,0,699.2,0.04
LAI-00000945,Term,11/22/2024,"350,000","479,500",0,0,709,0.07
LAI-00000944,Term,11/19/2024,"150,000","198,000","-1,523",0,757,0.04
LAI-00000943,Term-SuperB,11/19/2024,"750,000","1,020,000",0,0,695,0.04
LAI-00000942,Term-SuperB,11/18/2024,"650,000","903,500",0,0,709.5,0.07
LAI-00000941,Term-SuperB,11/15/2024,"850,000","1,130,500",0,0,719,0.04
LAI-00000940,Term-SuperB,11/14/2024,"1,750,000","2,222,500",0,0,756,0.03
LAI-00000939,Term-SuperB,11/13/2024,"1,100,000","1,397,000",0,0,821,0.04
LAI-00000938,Term,11/12/2024,"375,655","514,647",0,0,700,0.049999997
LAI-00000937,Term,11/12/2024,"400,000","516,000",0,0,667,0.02
LAI-00000936,Term-SuperB,11/8/2024,"800,000","1,080,000",0,0,748,0.03
LAI-00000935,Term-SuperB,11/8/2024,"2,500,000","3,225,000",0,0,742.7,0.04
LAI-00000934,Term,11/7/2024,"450,000","603,000",0,0,791,0.04
LAI-00000933,Term-SuperB,11/7/2024,"2,000,000","2,440,000",0,0,804,0.03
LAI-00000932,Term-SuperB,11/6/2024,"1,550,000","1,953,000",0,0,706,0.03
LAI-00000931,Term,11/5/2024,"250,000","327,500",0,0,771,0.04
LAI-00000930,Term-SuperB,11/1/2024,"1,500,000","1,830,000",0,0,746,0.01
LAI-00000929,Term-SuperB,10/31/2024,"500,000","660,000",0,0,729.16,0.04
LAI-00000928,Term-SuperB,10/25/2024,"2,501,000","3,326,330",0,0,737,0.02
LAI-00000927,Term,10/24/2024,"350,000","476,000",0,0,743,0.05
LAI-00000926,Term-SuperB,10/22/2024,"500,000","685,000",0,0,788,0.02
LAI-00000925,Term-SuperB,10/22/2024,"1,000,000","1,260,000",0,0,784.5,0.03
LAI-00000924,Term-SuperB,10/22/2024,"1,250,000","1,612,500",0,0,682,0.03
LAI-00000923,Term-SuperB,10/17/2024,"1,750,000","2,100,000",0,0,780.75,0.02
LAI-00000922,Term-SuperB,10/16/2024,"1,536,381","1,966,568","-37,819",0,732,0.019999997
LAI-00000921,Term-SuperB,10/11/2024,"1,750,000","2,240,000",0,0,756,0.03
LAI-00000920,Term-SuperB,10/11/2024,"750,000","1,012,500",0,0,744,0.07
LAI-00000919,Term-SuperB,10/9/2024,"1,500,000","1,815,000",0,0,762.908,0.03
LAI-00000918,Term-SuperB,10/7/2024,"1,500,000","1,845,000",0,0,695,0.025
LAI-00000917,Term-SuperB,10/4/2024,"700,000","924,000",0,0,754,0.03
LAI-00000916,Term-SuperB,10/3/2024,"1,750,000","2,187,500",0,0,760,0.01
LAI-00000915,Term-SuperB,10/3/2024,"1,500,000","2,070,000",0,0,821,0.05
LAI-00000914,Term-SuperB,10/2/2024,"750,000","1,020,000",0,0,699,0.04
LAI-00000913,Term,10/1/2024,"300,000","381,000",0,0,712,0.02
LAI-00000912,Term-SuperB,10/1/2024,"2,000,000","2,860,000",0,0,713,0.03
LAI-00000911,Term,9/30/2024,"450,000","612,000",0,0,685.5,0.06
LAI-00000910,Term,9/30/2024,"675,000","911,250","-14,019",0,695,0.06
LAI-00000909,Term-SuperB,9/30/2024,"2,000,000","2,680,000","-15,970",0,788,0.02
LAI-00000907,Term,9/27/2024,"2,000,000","2,540,000",0,0,760,0.03
LAI-00000906,Term,9/27/2024,"485,000","659,600",0,0,726,0.03
LAI-00000905,Term,9/26/2024,"250,000","337,500",0,0,702,0.04
LAI-00000904,Term-SuperB,9/26/2024,"1,364,615","1,705,769",0,0,774,0.009999999
LAI-00000903,Term-SuperB,9/25/2024,"1,500,000","2,040,000",0,0,736,0.02
LAI-00000902,Term-SuperB,9/24/2024,"2,000,000","2,560,000",0,0,752,0.01
LAI-00000901,Term-SuperB,9/24/2024,"2,000,000","2,620,000",0,0,790,0.02
LAI-00000900,Term,9/23/2024,"490,971","662,811",0,0,665,0.04
LAI-00000899,Term,9/20/2024,"200,000","284,000",0,0,761,0.02
LAI-00000898,Term,9/18/2024,"1,000,000","1,350,000",0,0,626,0.02
LAI-00000897,Term-SuperB,9/17/2024,"2,000,000","2,600,000",0,0,795.45,0.04
LAI-00000896,Term-SuperB,9/13/2024,"1,300,000","1,670,500",0,0,790,0.035
LAI-00000895,Term-SuperB,9/11/2024,"2,000,000","2,560,000",0,0,710.5,0.03
LAI-00000894,Term-SuperB,9/6/2024,"800,000","1,056,000",0,0,746.36,0.05
LAI-00000893,Term,8/29/2024,"150,000","198,000",0,0,769,0.05
LAI-00000892,Term,8/28/2024,"500,000","645,000","-9,214",0,731,0.03
LAI-00000891,Term,8/27/2024,"500,000","660,000",0,0,709,0.03
LAI-00000890,Term,8/23/2024,"300,000","408,000",0,0,724,0.05
LAI-00000889,Term-SuperB,8/12/2024,"1,150,000","1,541,000",0,0,746,0.03
LAI-00000888,Term-SuperB,8/8/2024,"1,650,000","2,128,500",0,0,785,0.02
LAI-00000887,Term-SuperB,8/7/2024,"1,350,000","1,748,250","-171,678",0,726,0.035
LAI-00000886,Term,8/6/2024,"300,000","402,000",0,0,787,0.04
LAI-00000885,Term-SuperB,8/2/2024,"1,500,000","1,935,000",0,0,803,0.03
LAI-00000884,Term,8/2/2024,"510,000","657,900",0,0,722,0.02
LAI-00000883,Term,7/31/2024,"355,000","465,050","-7,155",0,715,0.02
LAI-00000882,Term,7/31/2024,"300,000","402,000",0,0,747,0.04
LAI-00000881,Term,7/29/2024,"1,000,000","1,360,000",0,0,697,0.03
LAI-00000880,Term,7/29/2024,"400,000","516,000",0,0,661,0.02
LAI-00000879,Term-SuperB,7/26/2024,"750,000","1,050,000","-42,241",0,763,0.03
LAI-00000878,Term-SuperB,7/26/2024,"1,400,000","1,806,000",0,0,725,0.02
LAI-00000877,Term-SuperB,7/25/2024,"1,100,000","1,364,000","-806,000",0,714,0.01
LAI-00000876,Term-SuperB,7/23/2024,"1,500,000","1,965,000","-56,143",0,745,0.03
LAI-00000875,Term-SuperB,7/23/2024,"967,286","1,238,127","-82,542",0,748,0.029999997
LAI-00000874,Term,7/22/2024,"250,000","322,500",0,0,717,0.05
LAI-00000873,Term,7/19/2024,"600,000","756,000",0,0,764,0
LAI-00000872,Term,7/18/2024,"400,000","516,000","-19,846",0,707,0.07
LAI-00000871,Term-SuperB,7/18/2024,"1,500,000","2,025,000",0,0,731,0.03
LAI-00000870,Term,7/18/2024,"750,000","952,500",0,0,776.5,0.03
LAI-00000869,Term-SuperB,7/17/2024,"1,000,000","1,230,000",0,0,814,0.03
LAI-00000868,Term,7/12/2024,"1,163,000","1,546,790",0,0,709,0.01
LAI-00000867,Term,7/12/2024,"989,853","1,365,996",0,0,700,0.02
LAI-00000866,Term,7/9/2024,"500,000","600,000",0,0,786,0.01
LAI-00000865,Term,7/8/2024,"125,000","168,750",0,0,755.25,0.04
LAI-00000864,Term-SuperB,7/3/2024,"1,000,000","1,320,000",0,0,803,0.03
LAI-00000863,Term-SuperB,7/3/2024,"1,500,000","1,875,000",0,0,810,0.03
LAI-00000862,Term,7/3/2024,"1,000,000","1,380,000","-159,231",0,700.2,0.06
LAI-00000861,Term,7/3/2024,"400,000","544,000","-50,215",0,681,0.05
LAI-00000860,Term-SuperB,7/2/2024,"900,000","1,188,000",0,0,738.7025,0.03
LAI-00000859,Term,7/2/2024,"450,000","598,500","-9,811",0,677,0.06
LAI-00000858,Term-SuperB,6/28/2024,"750,000","1,020,000",0,0,788,0.035
LAI-00000857,Term-SuperB,6/28/2024,"1,350,000","1,674,000","-1,065,273",0,720,0.01
LAI-00000856,Term,6/26/2024,"175,000","236,250",0,0,767,0.05
LAI-00000855,Term,6/24/2024,"275,000","365,750",0,0,727,0.05
LAI-00000854,Term-SuperB,6/20/2024,"1,500,000","1,860,000",0,0,701,0.02
LAI-00000853,Term,6/20/2024,"371,272","508,642","-45,647",0,705,0.039999987
LAI-00000852,Term-SuperB,6/17/2024,"2,250,000","3,138,750",0,0,721,0.01
LAI-00000851,Term-SuperB,6/14/2024,"1,000,000","1,250,000",0,0,801,0.04
LAI-00000850,Term,6/13/2024,"400,000","552,000",0,0,780,0.05
LAI-00000849,Term,6/12/2024,"250,000","340,000",0,0,709,0.05
LAI-00000848,Term-SuperB,6/12/2024,"1,650,000","2,409,000",0,0,725,0.05
LAI-00000847,Term-SuperB,6/7/2024,"1,500,000","2,040,000",0,0,773,0.02
LAI-00000846,Term,6/7/2024,"350,000","483,000",0,0,663.5,0.05
LAI-00000845,Term,6/7/2024,"425,000","552,500",0,0,708,0.02
LAI-00000844,Term,6/7/2024,"200,000","262,000",0,0,776,0.04
LAI-00000843,Term,6/5/2024,"457,330","621,969",0,0,738.5,0.03
LAI-00000842,Term-SuperB,6/4/2024,"1,750,000","2,432,500","-556,772",0,799,0.02
LAI-00000841,Term,5/31/2024,"1,400,000","1,904,000","-27,200",0,724,0.05
LAI-00000840,Term,5/31/2024,"300,000","417,000",0,0,646.25,0.05
LAI-00000839,Term-SuperB,5/30/2024,"1,500,000","1,740,000",0,0,731,0.01
LAI-00000838,Term-SuperB,5/30/2024,"1,500,000","1,740,000",0,0,731,0.01
LAI-00000837,Term-SuperB,5/30/2024,"1,000,000","1,320,000",0,0,794,0.03
LAI-00000836,Term,5/28/2024,"500,000","640,000",0,0,704,0.07
LAI-00000835,Term,5/24/2024,"230,000","299,000","-46,000",0,713.5,0.08
LAI-00000834,Term-SuperB,5/23/2024,"1,379,464","1,682,946",0,0,805,0.030000003
LAI-00000824,Term,5/15/2024,"100,000","136,000",0,0,714,0.05
LAI-00000823,Term-SuperB,5/14/2024,"1,000,000","1,310,000",0,0,777.5,0.03
LAI-00000822,Term,5/13/2024,"750,000","1,035,000",0,0,794,0.05
LAI-00000821,Term,5/13/2024,"136,000","180,880","-47,307",0,679,0.05
LAI-00000820,Term-SuperB,5/10/2024,"1,500,000","1,995,000",0,0,719.5,0.05
LAI-00000819,Term-SuperB,5/9/2024,"1,000,000","1,295,000",0,0,694,0.035
LAI-00000818,Term,5/9/2024,"200,000","246,000",0,0,680,0.02
LAI-00000817,Term,5/3/2024,"400,000","524,000",0,0,779,0.04
LAI-00000815,Term,4/30/2024,"150,000","198,000",0,0,747,0.05
LAI-00000814,Term-SuperB,4/26/2024,"1,000,000","1,290,000",0,0,787,0.02
LAI-00000813,Term,4/26/2024,"600,000","822,000","-46,971",0,672,0.07
LAI-00000809,Term-SuperB,4/26/2024,"805,000","1,086,750","-13,933",0,763,0.04
LAI-00000808,Term-SuperB,4/26/2024,"750,000","990,000",0,0,725.8365,0.04
LAI-00000807,Term,4/24/2024,"500,000","675,000",0,0,753,0.06
LAI-00000806,Term,4/23/2024,"300,000","384,000",0,0,681,0.02
LAI-00000805,Term-SuperB,4/22/2024,"500,000","620,000",0,0,779,0.03
LAI-00000804,Term,4/17/2024,"675,000","911,250","-226,599",0,673,0.05
LAI-00000803,Term-SuperB,4/12/2024,"1,000,000","1,300,000","-44,000",0,724,0.04
LAI-00000802,Term-SuperB,4/11/2024,"1,250,000","1,600,000",0,0,726,0.03
LAI-00000801,Term-SuperB,4/9/2024,"1,400,000","1,904,000",0,0,746,0.03
LAI-00000800,Term-SuperB,4/9/2024,"1,000,000","1,340,000",0,0,763,0.01
LAI-00000799,Term-SuperB,4/8/2024,"725,000","957,000",0,0,753,0.04
LAI-00000798,Term,4/8/2024,"400,000","546,000",0,0,689,0.035
LAI-00000797,Term-SuperB,4/5/2024,"1,050,000","1,428,000",0,0,725,0.03
LAI-00000796,Term-SuperB,4/5/2024,"1,500,000","1,785,000",0,0,744,0.02
LAI-00000795,Term-SuperB,4/4/2024,"1,500,000","1,905,000",0,0,742,0.04
LAI-00000794,Term,4/4/2024,"500,000","675,000",0,0,688,0.06
LAI-00000793,Term-SuperB,4/2/2024,"1,751,136","2,267,722","-1,934,160",0,776,0.009999998
LAI-00000792,Term-SuperB,3/29/2024,"1,250,000","1,687,500","-196,964",0,709,0.05
LAI-00000791,Term,3/29/2024,"215,000","292,400",0,0,714,0.05
LAI-00000790,Term-SuperB,3/28/2024,"1,600,000","2,032,000",0,0,775,0.015
LAI-00000789,Term-SuperB,3/28/2024,"1,600,000","2,032,000",0,0,826,0.015
LAI-00000788,Term-SuperB,3/28/2024,"1,500,000","1,845,000",0,0,755,0.01
LAI-00000787,Term,3/28/2024,"400,000","540,000",0,0,738,0.05
LAI-00000786,Term,3/27/2024,"500,000","610,000",0,0,705,0.02
LAI-00000785,Term-SuperB,3/26/2024,"1,750,000","2,336,250","-947,278",0,715,0.03
LAI-00000784,Term,3/26/2024,"500,000","610,000",0,"359,231",800,0.03
LAI-00000782,Term,3/22/2024,"250,000","345,000",0,0,737.9922,0.06
LAI-00000781,Term,3/20/2024,"1,000,000","1,220,000",0,0,784,0.03
LAI-00000780,Term,3/11/2024,"400,000","544,000","-158,089",0,687,0.05
LAI-00000779,Term-SuperB,3/7/2024,"1,500,000","1,830,000",0,0,702,0.01
LAI-00000778,Term,3/5/2024,"300,000","390,000",0,"184,918",761,0.05
LAI-00000777,Term,2/29/2024,"500,000","640,000",0,0,653,0.02
LAI-00000776,Term-SuperB,2/28/2024,"811,881","1,112,276",0,0,808.63,0.039999995
LAI-00000775,Term-SuperB,2/28/2024,"1,500,000","1,995,000",0,0,778,0.04
LAI-00000774,Term-SuperB,2/28/2024,"1,000,000","1,330,000",0,0,800,0.03
LAI-00000773,Term,2/27/2024,"500,000","640,000","-546,250",0,786,0.01
LAI-00000772,Term-SuperB,2/27/2024,"1,495,000","1,958,450",0,0,725,0.02
LAI-00000771,Term,2/27/2024,"400,000","544,000",0,0,723,0.05
LAI-00000770,Term,2/23/2024,"150,000","202,500","-7,232",0,758,0.04
LAI-00000769,Term-SuperB,2/23/2024,"1,100,000","1,419,000",0,0,683,0.04
LAI-00000768,Term-SuperB,2/22/2024,"1,250,000","1,512,500",0,0,757,0.01
LAI-00000767,Term-SuperB,2/21/2024,"1,000,000","1,220,000",0,0,770,0.03
LAI-00000766,Term,2/16/2024,"310,000","418,500",0,0,736,0.05
LAI-00000765,Term,2/15/2024,"500,000","610,000",0,0,770,0.03
LAI-00000764,Term,2/13/2024,"500,000","710,000",0,0,752,0.02
LAI-00000763,Term-SuperB,2/13/2024,"1,000,000","1,220,000","-224,718",0,701,0.03
LAI-00000762,Term,2/13/2024,"100,000","134,000","-35,885",0,673,0.05
LAI-00000761,Term-SuperB,2/12/2024,"1,500,000","1,830,000",0,0,818,0.03
LAI-00000760,Term-SuperB,2/9/2024,"550,000","750,750",0,0,714,0.035
LAI-00000759,Term,2/9/2024,"200,000","266,000","-73,662",0,680,0.05
LAI-00000758,Term,2/8/2024,"1,000,000","1,295,000",0,0,726,0.035
LAI-00000757,Term-SuperB,2/8/2024,"2,000,000","2,460,000",0,0,775,0
LAI-00000756,Term-SuperB,2/8/2024,"1,200,000","1,512,000",0,0,796.9,0.05
LAI-00000755,Term-SuperB,1/31/2024,"1,500,000","1,995,000",0,0,729.9,0.03
LAI-00000754,Term,1/30/2024,"1,000,000","1,200,000",0,0,650,0.025
LAI-00000753,Term,1/30/2024,"725,000","978,750",0,0,627,0.02
LAI-00000752,Term,1/29/2024,"500,000","675,000",0,0,666,0.07
LAI-00000751,Term-SuperB,1/26/2024,"1,400,000","1,750,000",0,0,777,0.01
LAI-00000750,Term,1/26/2024,"500,000","670,000",0,0,757,0.05
LAI-00000749,Term,1/22/2024,"250,000","340,000",0,0,690,0.05
LAI-00000748,Term,1/16/2024,"600,000","732,000",0,0,735,0.03
LAI-00000747,Term-SuperB,1/12/2024,"1,000,000","1,250,000",0,0,723.98,0.03
LAI-00000746,Term,1/12/2024,"300,000","396,000",0,0,729,0.05
LAI-00000745,Term,1/11/2024,"200,000","262,000",0,0,679,0.03
LAI-00000744,Term-SuperB,1/11/2024,"900,000","1,215,000",0,0,762,0.04
LAI-00000743,Term-SuperB,1/11/2024,"1,500,000","1,815,000",0,0,808,0.03
LAI-00000741,Term,1/10/2024,"500,000","675,000",0,0,720,0.03
LAI-00000740,Term,1/3/2024,"300,000","387,000",0,0,694,0.02
LAI-00000739,Term-SuperB,1/2/2024,"700,000","945,000",0,0,746.485,0.05
LAI-00000738,Term-SuperB,12/29/2023,"1,000,000","1,300,000",0,0,698,0.02
LAI-00000737,Term,12/28/2023,"350,000","430,500",0,0,710,0.03
LAI-00000736,Term,12/21/2023,"100,000","133,000",0,0,687,0.05
LAI-00000735,Term,12/21/2023,"500,000","660,000","-20,308",0,742,0.04
LAI-00000734,Term-SuperB,12/20/2023,"1,250,000","1,618,750",0,0,721,0.035
LAI-00000732,Term,12/18/2023,"1,200,000","1,440,000",0,0,685,0.02
LAI-00000731,Term,12/18/2023,"1,250,000","1,712,500","-85,625",0,575,0.04
LAI-00000730,Term,12/15/2023,"1,250,000","1,731,250",0,0,780,0.02
LAI-00000729,Term,12/14/2023,"500,000","665,000",0,"412,787",783,0.07
LAI-00000728,Term,12/11/2023,"1,250,000","1,450,000",0,0,728,0.015
LAI-00000727,Term,12/11/2023,"1,250,000","1,450,000",0,0,727,0.015
LAI-00000726,Term,12/8/2023,"400,000","540,000",0,0,734.5,0.02
LAI-00000725,Term,12/7/2023,"750,000","1,005,000",0,0,698,0.07
LAI-00000724,Term,12/6/2023,"100,000","134,000","-35,885",0,664,0.05
LAI-00000723,Term,12/6/2023,"500,000","660,000","-132,000",0,756,0.05
LAI-00000722,Term,12/5/2023,"1,250,000","1,687,500",0,0,724,0.01
LAI-00000721,Term,11/30/2023,"900,000","1,188,000",0,0,721,0.04
LAI-00000720,Term,11/30/2023,"1,000,000","1,310,000",0,0,837,0.03
LAI-00000719,Term,11/30/2023,"760,567","943,103",0,0,780,0.040000003
LAI-00000718,Term,11/22/2023,"1,050,712","1,418,461",0,0,761,0.029999993
LAI-00000717,Term,11/22/2023,"1,250,000","1,556,250",0,"684,091",789,0.01
LAI-00000716,Term,11/20/2023,"1,250,000","1,675,000",0,0,657,0.05
LAI-00000715,Term,11/17/2023,"425,000","573,750",0,0,705.2422,0.08
LAI-00000714,Term,11/13/2023,"975,000","1,345,500",0,0,728,0.06
LAI-00000713,Term,11/13/2023,"1,250,000","1,675,000",0,0,709,0.04
LAI-00000712,Term,11/2/2023,"1,250,000","1,512,500",0,0,757,0.01
LAI-00000711,Term,11/2/2023,"496,476","660,313",0,0,725,0
LAI-00000710,Term,11/2/2023,"356,364","473,964",0,0,725,0
LAI-00000709,Term,10/31/2023,"500,000","675,000","-9,643",0,755.75,0.04
LAI-00000708,Term,10/31/2023,"350,000","430,500",0,0,706,0.03
LAI-00000707,Term,10/27/2023,"130,000","172,900","-45,220",0,631,0.05
LAI-00000706,Term,10/18/2023,"1,250,000","1,556,250",0,0,792,0.01
LAI-00000705,Term,10/11/2023,"500,000","675,000",0,0,724.35,0.07
LAI-00000704,Term,10/11/2023,"1,250,000","1,637,500",0,0,760,0.03
LAI-00000702,Term,10/5/2023,"1,000,000","1,290,000",0,0,770,0.03
LAI-00000701,Term,10/4/2023,"1,000,000","1,360,000",0,0,678,0.06
LAI-00000700,Term,10/2/2023,"550,000","726,000",0,"404,801",763,0.05
LAI-00000699,Term,9/28/2023,"300,000","399,000",0,0,735,0.05
LAI-00000697,Term,9/27/2023,"500,000","660,000",0,0,725,0.05
LAI-00000696,Term,9/27/2023,"1,150,000","1,575,500",0,0,672,0.04
LAI-00000695,Term,9/26/2023,"1,000,000","1,370,000",0,0,677,0.03
LAI-00000694,Term,9/26/2023,"185,000","222,000",0,0,636,0.02
LAI-00000693,Term,9/25/2023,"1,250,000","1,662,500",0,0,797,0.03
LAI-00000692,Term,9/20/2023,"1,000,000","1,210,000",0,0,757,0.01
LAI-00000691,Term,9/20/2023,"1,200,000","1,632,000","-41,846",0,685,0.04
LAI-00000690,Term,9/18/2023,"600,000","744,000",0,0,696,0.03
LAI-00000689,Term,9/15/2023,"1,100,000","1,353,000",0,0,728,0.03
LAI-00000688,Term,9/13/2023,"600,000","762,000",0,0,798.5,0.04
LAI-00000687,Term,9/12/2023,"300,000","387,000",0,0,726,0.02
LAI-00000686,Term,9/7/2023,"250,000","332,500",0,0,789,0.05
LAI-00000685,Term,9/6/2023,"745,000","1,009,475",0,0,795.3339,0.04
LAI-00000684,Term,9/6/2023,"500,000","615,000",0,0,710,0.03
LAI-00000683,Term,9/1/2023,"1,000,000","1,310,000",0,0,679,0.03
LAI-00000682,Term,9/1/2023,"500,000","670,000",0,0,609,0.04
LAI-00000681,Term,8/31/2023,"1,000,000","1,190,000",0,0,790,0.03
LAI-00000680,Term,8/30/2023,"505,000","606,000",0,0,741,0.02
LAI-00000679,Term,8/30/2023,"670,000","884,400","-95,967",0,731.6113,0.04
LAI-00000678,Term,8/30/2023,"500,000","660,000",0,0,772,0.03
LAI-00000677,Term,8/25/2023,"700,000","882,000",0,0,774,0.04
LAI-00000676,Term,8/25/2023,"1,250,000","1,550,000",0,0,757,0.03
LAI-00000675,Term,8/24/2023,"1,200,000","1,662,000",0,0,760,0.02
LAI-00000674,Term,8/24/2023,"250,000","355,000",0,0,670,0.07
LAI-00000671,Term,8/16/2023,"500,000","615,000",0,0,726,0.01
LAI-00000670,Term,7/27/2023,"1,500,000","2,070,000",0,0,729,0.05
LAI-00000669,Term,7/27/2023,"1,000,000","1,380,000",0,0,716.4,0.04
LAI-00000668,Term,7/26/2023,"725,000","906,250","-209,371",0,706,0.04
LAI-00000667,Term,7/25/2023,"400,000","520,000",0,0,652,0.02
LAI-00000666,Term,7/25/2023,"350,000","441,000",0,0,746.6736,0.04
LAI-00000665,Term,7/18/2023,"800,000","1,064,000",0,"329,385",734.6876,0.04
LAI-00000664,Term,7/14/2023,"750,000","1,020,000",0,0,715,0.04
LAI-00000663,Term,7/13/2023,"1,000,000","1,205,000",0,0,757,0
LAI-00000662,Term,7/13/2023,"1,000,000","1,230,000",0,0,760,0.035
LAI-00000661,Term,7/10/2023,"750,000","952,500",0,0,699,0.04
LAI-00000660,Term,7/6/2023,"500,000","660,000",0,0,758.26,0.03
LAI-00000659,Term,6/30/2023,"1,000,000","1,340,000",0,0,735,0.04
LAI-00000658,Term,6/30/2023,"450,000","607,500",0,0,737,0.05
LAI-00000657,Term,6/30/2023,"1,000,000","1,270,000",0,0,759,0.03
LAI-00000656,Term,6/29/2023,"1,090,000","1,308,000",0,0,731,0.025
LAI-00000655,Term,6/28/2023,"1,000,000","1,270,000",0,0,776,0.03
LAI-00000654,Term,6/27/2023,"600,000","804,000",0,0,736,0.04
LAI-00000653,Term,6/27/2023,"500,000","625,000",0,0,709,0.04
LAI-00000652,Term,6/26/2023,"500,000","640,000",0,0,774,0.04
LAI-00000651,Term,6/20/2023,"1,500,000","2,040,000",0,0,741,0.03
LAI-00000650,Term,6/20/2023,"1,474,445","2,034,733",0,0,730,0.02
LAI-00000649,Term,6/7/2023,"600,000","750,000",0,0,801,0.05
LAI-00000648,Term,6/5/2023,"350,000","483,000",0,0,703,0.04
LAI-00000647,Term,5/31/2023,"725,000","1,051,250","-204,472",0,675,0.04
LAI-00000646,Term,5/26/2023,"500,000","680,000",0,0,755,0.04
LAI-00000645,Term,5/19/2023,"600,000","744,000",0,0,811,0.04
LAI-00000644,Term,5/15/2023,"500,000","670,000",0,0,727,0
LAI-00000643,Term,5/12/2023,"1,500,000","1,995,000",0,0,722,0.03
LAI-00000642,Term,5/9/2023,"500,000","650,000",0,0,674.5,0.02
LAI-00000641,Term,5/8/2023,"875,000","1,211,875",0,0,741.5,0.02
LAI-00000640,Term,5/1/2023,"400,000","528,000",0,0,727,0.05
LAI-00000639,Term,4/28/2023,"375,000","495,000",0,"262,545",800,0.03
LAI-00000638,Term,4/26/2023,"600,000","726,000",0,0,757,0.015
LAI-00000637,Term,4/26/2023,"1,000,000","1,340,000",0,0,727,0.05
LAI-00000636,Term,4/26/2023,"1,216,837","1,478,457",0,0,693,0.025
LAI-00000634,Term,4/24/2023,"700,000","903,000",0,0,640,0.05
LAI-00000633,Term,4/21/2023,"600,000","804,000",0,0,708,0
LAI-00000632,Term,4/17/2023,"400,000","544,000",0,0,676,0.05
LAI-00000631,Term,4/14/2023,"725,000","978,750",0,0,638,0.02
LAI-00000630,Term,4/13/2023,"500,000","605,000",0,0,798,0.03
LAI-00000629,Term,4/12/2023,"325,000","455,000",0,0,703,0.06
LAI-00000628,Term,4/12/2023,"550,000","731,500",0,0,684,0.05
LAI-00000627,Term,4/11/2023,"1,350,000","1,782,000",0,0,742.8588,0.04
LAI-00000626,Term,4/5/2023,"750,000","1,005,000",0,0,694,0.05
LAI-00000625,Term,4/3/2023,"1,500,000","1,935,000",0,0,732.25,0.04
